Date,AAPL,MSFT
2018-01-02,40.47984313964844,79.47416687011719
2018-01-03,40.47279357910156,79.84402465820312
2018-01-04,40.660789489746094,80.54676055908203
2018-01-05,41.12371826171875,81.54537200927734
2018-01-08,40.970970153808594,81.62861633300781
2018-01-09,40.96628189086914,81.5731430053711
2018-01-10,40.95686340332031,81.20326232910156
2018-01-11,41.18952178955078,81.44368743896484
2018-01-12,41.61484909057617,82.8491439819336
2018-01-16,41.403358459472656,81.69332885742188
2018-01-17,42.087188720703125,83.34849548339844
2018-01-18,42.124778747558594,83.31147766113281
2018-01-19,41.93680191040039,83.2190170288086
2018-01-22,41.59370422363281,84.70771026611328
2018-01-23,41.60310363769531,84.97586059570312
2018-01-24,40.940433502197266,84.90189361572266
2018-01-25,40.20960235595703,85.37348937988281
2018-01-26,40.30359649658203,86.97312927246094
2018-01-29,39.46937561035156,86.8436508178711
2018-01-30,39.236724853515625,85.7525634765625
2018-01-31,39.34482192993164,87.85155487060547
2018-02-01,39.42706298828125,87.1580581665039
2018-02-02,37.71632385253906,84.8648910522461
2018-02-05,36.774009704589844,81.36972045898438
2018-02-06,38.310855865478516,84.44880676269531
2018-02-07,37.49073028564453,82.8583984375
2018-02-08,36.459110260009766,78.60498046875
2018-02-09,36.905059814453125,81.53614807128906
2018-02-12,38.39155197143555,82.41458129882812
2018-02-13,38.77614212036133,83.06182861328125
2018-02-14,39.49108123779297,84.36243438720703
2018-02-15,40.81712341308594,86.08106231689453
2018-02-16,40.68498229980469,85.46793365478516
2018-02-20,40.548133850097656,86.13680267333984
2018-02-21,40.36410903930664,84.994140625
2018-02-22,40.70151901245117,85.21712493896484
2018-02-23,41.409358978271484,87.38168334960938
2018-02-26,42.22809982299805,88.6451187133789
2018-02-27,42.09125518798828,87.51172637939453
2018-02-28,42.027549743652344,87.11226654052734
2018-03-01,41.29137420654297,86.25758361816406
2018-03-02,41.57688522338867,86.44336700439453
2018-03-05,41.720821380615234,86.99149322509766
2018-03-06,41.685428619384766,86.69419860839844
2018-03-07,41.2984619140625,87.19586181640625
2018-03-08,41.74913787841797,87.72538757324219
2018-03-09,42.46642303466797,89.68558502197266
2018-03-12,42.876976013183594,89.89925384521484
2018-03-13,42.46405792236328,87.70681762695312
2018-03-14,42.10306167602539,87.18659210205078
2018-03-15,42.152587890625,87.4931640625
2018-03-16,42.00395584106445,87.88333129882812
2018-03-19,41.36216735839844,86.29475402832031
2018-03-20,41.3480224609375,86.51771545410156
2018-03-21,40.411293029785156,85.91386413574219
2018-03-22,39.84028625488281,83.41484832763672
2018-03-23,38.917720794677734,80.99016571044922
2018-03-26,40.76521682739258,87.12155151367188
2018-03-27,39.71995544433594,83.11756134033203
2018-03-28,39.28108596801758,83.04325866699219
2018-03-29,39.58781814575195,84.7897720336914
2018-04-02,39.328269958496094,82.2350082397461
2018-04-03,39.731746673583984,83.34053039550781
2018-04-04,40.491512298583984,85.77452087402344
2018-04-05,40.77230453491211,85.8209457397461
2018-04-06,39.72938919067383,83.8236312866211
2018-04-09,40.12342834472656,84.32525634765625
2018-04-10,40.87845993041992,86.28544616699219
2018-04-11,40.68735122680664,85.33786010742188
2018-04-12,41.08847427368164,86.93576049804688
2018-04-13,41.22768020629883,86.47125244140625
2018-04-16,41.484867095947266,87.48387145996094
2018-04-17,42.055870056152344,89.24896240234375
2018-04-18,41.961483001708984,89.59269714355469
2018-04-19,40.77230453491211,89.28612518310547
2018-04-20,39.10175704956055,88.25491333007812
2018-04-23,38.988502502441406,88.580078125
2018-04-24,38.44580841064453,86.5083999633789
2018-04-25,38.61333465576172,85.75592041015625
2018-04-26,38.74782943725586,87.56747436523438
2018-04-27,38.29952621459961,89.01668548583984
2018-04-30,38.99323272705078,86.8800048828125
2018-05-01,39.89928436279297,88.25491333007812
2018-05-02,41.661834716796875,86.87071990966797
2018-05-03,41.73732376098633,87.39096069335938
2018-05-04,43.37482833862305,88.40359497070312
2018-05-07,43.68865203857422,89.38829803466797
2018-05-08,43.89863967895508,89.0074234008789
2018-05-09,44.20772933959961,90.05718994140625
2018-05-10,44.840087890625,90.95832824707031
2018-05-11,44.669551849365234,90.76322174072266
2018-05-14,44.56532287597656,91.06978607177734
2018-05-15,44.16029357910156,90.41020965576172
2018-05-16,44.57243347167969,90.6434555053711
2018-05-17,44.29057312011719,89.73844146728516
2018-05-18,44.12950897216797,89.9063720703125
2018-05-21,44.442161560058594,91.0633316040039
2018-05-22,44.330833435058594,90.97004699707031
2018-05-23,44.61506271362305,92.0523452758789
2018-05-24,44.56532287597656,91.72577667236328
2018-05-25,44.667179107666016,91.77242279052734
2018-05-29,44.50611114501953,91.44587707519531
2018-05-30,44.41136169433594,92.32290649414062
2018-05-31,44.26214599609375,92.22029876708984
2018-06-01,45.06037902832031,94.03968048095703
2018-06-04,45.43696212768555,94.86076354980469
2018-06-05,45.78753662109375,95.34589385986328
2018-06-06,45.946224212646484,95.62581634521484
2018-06-07,45.82305908203125,94.1236572265625
2018-06-08,45.40617370605469,94.82343292236328
2018-06-11,45.294857025146484,94.28227996826172
2018-06-12,45.5435676574707,94.52485656738281
2018-06-13,45.1693229675293,94.09564971923828
2018-06-14,45.19300079345703,94.62748718261719
2018-06-15,44.728763580322266,93.42388153076172
2018-06-18,44.70507049560547,94.10498809814453
2018-06-19,43.9826545715332,94.10498809814453
2018-06-20,44.17450714111328,95.04736328125
2018-06-21,43.92816925048828,94.36622619628906
2018-06-22,43.800270080566406,93.68513488769531
2018-06-25,43.148902893066406,91.8004379272461
